postcodes,latitude,longitude
B44 0HL,52.5457,-1.8851
B44 0NN,52.5457,-1.8851
B44 8DA,52.5457,-1.8851
B44 8DP,52.5457,-1.8851
B44 8NS,52.5457,-1.8851
B44 8PP,52.5457,-1.8851
B44 8QT,52.5457,-1.8851
B44 8SX,52.5457,-1.8851
B44 9RH,52.5457,-1.8851
B45 0JA,52.3763,-2.0087200000000003
B45 0JD,52.3763,-2.0087200000000003
B45 8NE,52.3763,-2.0087200000000003
B45 8SB,52.3763,-2.0087200000000003
B45 8UU,52.3763,-2.0087200000000003
B45 9JA,52.3763,-2.0087200000000003
B45 9JL,52.3763,-2.0087200000000003
B45 9JW,52.3763,-2.0087200000000003
B45 9NY,52.3763,-2.0087200000000003
B46 1AS,52.5332,-1.6747833333333333
B46 1SR,52.5332,-1.6747833333333333
B46 3BJ,52.5332,-1.6747833333333333
B46 3BP,52.5332,-1.6747833333333333
B47 5HD,52.3752,-1.8757
B47 5PN,52.3752,-1.8757
B48 7AU,52.3517,-1.95768
B48 7LA,52.3517,-1.95768
B49 5DA,52.1892,-1.837441176470588
B49 5QF,52.1892,-1.837441176470588
B49 6AA,52.1892,-1.837441176470588
B49 6PQ,52.1892,-1.837441176470588
B5 4AX,52.4814,-1.8998
B5 4BU,52.4814,-1.8998
B5 4SG,52.4814,-1.8998
B5 4TP,52.4814,-1.8998
B5 5JE,52.4814,-1.8998
B5 6DH,52.4814,-1.8998
B5 7TU,52.4814,-1.8998
B50 4AF,52.1778,-1.8605
B50 4EH,52.1778,-1.8605
B6 6QR,52.5047,-1.8863
B60 1DL,52.3201,-2.0438
B60 3DX,52.3201,-2.0438
B60 3EQ,52.3201,-2.0438
B60 3JZ,52.3201,-2.0438
B61 0AR,52.35,-2.0764500000000004
B61 0DD,52.35,-2.0764500000000004
B61 0DF,52.35,-2.0764500000000004
B61 0HA,52.35,-2.0764500000000004
B61 0JR,52.35,-2.0764500000000004
B61 0LA,52.35,-2.0764500000000004
B61 8AG,52.35,-2.0764500000000004
B61 8AJ,52.35,-2.0764500000000004
B61 8DA,52.35,-2.0764500000000004
B61 8ES,52.35,-2.0764500000000004
B61 8LW,52.35,-2.0764500000000004
B62 0NU,52.4167,-2.0312666666666668
B62 8AA,52.4167,-2.0312666666666668
