postcodes,latitude,longitude
B29 6TL,52.4427503,-1.941139
B3 1PW,52.4823393,-1.9082941
B3 1RU,52.4833901,-1.9069666
B3 2BJ,52.4826009,-1.8983836
B3 2QD,52.4822943,-1.897221
B3 3BA,52.4814,-1.8998
B30 1JA,52.4165114,-1.9301465
B30 1PA,52.4216731,-1.9324912
B30 2JX,52.4295601,-1.922287
B30 2XU,52.4301164,-1.9207564
B30 2YY,52.4302255,-1.9225506
B30 3AS,52.4153512,-1.9292956
B31 2JX,52.4160691,-1.9677717
B31 2NG,52.4159621,-1.9710358
B31 2NN,52.4155663,-1.9701686
B31 2TW,52.3963388,-1.9812771
B31 3JW,52.398033,-1.960936
B31 3LD,52.3991746,-1.9606264
B31 3SH,52.3974594,-1.9668152
B31 3TG,52.4076085,-1.964191
B31 3UB,52.4086151,-1.9633229
B31 4BL,52.4024225,-1.9688545
B31 5AA,52.4126545,-1.9743899
B31 5NJ,52.4076318,-1.9954432
B32 1EG,52.459747,-1.9988084
B32 2AL,52.4650864,-1.9870624
B32 2DX,52.4610041,-1.9806172
B32 2LT,52.4527863,-1.9755441
B32 2RE,52.4528331,-1.9874485
B32 3ES,52.4389349,-1.9915272
B32 4EY,52.4330196,-2.0059573
B33 0AP,52.4812633,-1.7709752
B33 0ND,52.4820156,-1.7604578
B33 0NG,52.4797348,-1.7709095
B33 0QY,52.4648458,-1.7747254
B33 8BA,52.4842726,-1.8103505
B33 8NF,52.4763425,-1.7885357
B33 8UE,52.4805921,-1.8137234
B33 9AN,52.4867318,-1.807807
B34 7AZ,52.4953439,-1.776897
B34 7EH,52.5012571,-1.7710777
B35 6HB,52.5172888,-1.7971519
B35 7PR,52.5211582,-1.7840469
B36 0BU,52.5066249,-1.7579227
B36 0BX,52.506693,-1.7604564
B36 0JG,52.5014723,-1.7616486
B36 0JH,52.5009611,-1.7578654
B36 0LB,52.5001205,-1.7600207
B36 0UG,52.5032088,-1.7492939
B36 8BL,52.5013418,-1.8031472
B36 8BQ,52.5008335,-1.8002475
B36 8DT,52.4941727,-1.8174367
B36 8TY,52.5064712,-1.8175774
B36 9AD,52.5018729,-1.7734021
B36 9EJ,52.5092673,-1.7758247
B37 5AJ,52.482035,-1.7567618
B37 5BT,52.4797155,-1.7523868
B37 5EX,52.4791247,-1.7409791
B37 5TL,52.4792485,-1.7400066
B37 5TP,52.4799919,-1.7387802
B37 6BB,52.4942113,-1.7500078
B37 6RD,52.4901941,-1.7381307
B37 6RX,52.4828155,-1.7271601
B38 8NA,52.3966709,-1.9488274
B38 8SD,52.4069096,-1.9293973
B38 9BL,52.401945,-1.9259805
B4 6BS,52.4827688,-1.8950554
B4 6TB,52.48239,-1.8936574
B4 7DT,52.4888154,-1.89105
B4 7ET,52.4866398,-1.8909523
B4 7SS,52.4793785,-1.8937824
B42 1AA,52.5177105,-1.9030775
B42 1AB,52.5183391,-1.9022509
B42 1EZ,52.5347049,-1.9198171
B42 1NN,52.5320775,-1.9302146
B43 5EL,52.5351037,-1.9404559
B43 5EY,52.5376046,-1.9440499
B43 7AP,52.5585114,-1.9369137
B43 7BN,52.5569937,-1.9113101
B43 7EJ,52.5551331,-1.9002815
B43 7HA,52.5511674,-1.9100683
B44 0HL,52.5367689,-1.8742129
B44 0NN,52.5446336,-1.8647532
B44 8DA,52.5315605,-1.8889397
B44 8DP,52.5290837,-1.8936629
B44 8NS,52.5434305,-1.9029326
B44 8PP,52.540618,-1.8844198
B44 8QT,52.5380238,-1.8792369
B44 8SX,52.5441524,-1.8955877
B44 9RH,52.5546232,-1.8833507
B45 0JA,52.4030907,-2.0163743
B45 0JD,52.4037094,-2.0257082
B45 8NE,52.3613864,-1.9905136
B45 8SB,52.3891123,-1.9999854
B45 8UU,52.38299,-2.0028209
B45 9JA,52.3933004,-2.0173993
B45 9JL,52.3947752,-2.0135055
B45 9JW,52.3936508,-2.0188395
B45 9NY,52.3963133,-2.0033068
B46 1AS,52.4990921,-1.7102519
B46 1SR,52.5182877,-1.7422081
B46 3BJ,52.4977785,-1.7061508
B46 3BP,52.4981462,-1.7057949
B47 5HD,52.3852883,-1.8836936
B47 5PN,52.3968466,-1.880724
B48 7AU,52.3637208,-1.9457667
B48 7LA,52.3519311,-1.9591412
B49 5DA,52.2164556,-1.8702438
B49 5QF,52.2298888,-1.8802339
B49 6AA,52.2187426,-1.8653189
B49 6PQ,52.2044152,-1.8764977
B5 4AX,52.47757,-1.9024588
B5 4BU,52.4779402,-1.8939037
B5 4SG,52.4754771,-1.894101
